date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:15	45327/45327	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Feb%202019%2008:31:15%20GMT	https://www.valuefy.com/	D:/Valuefy/Valuefy/www.valuefy.com/index.html	(from )
14:03:15	22683/22683	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Feb%202019%2008:31:15%20GMT	https://www.valuefy.com/robots.txt		(from )
14:03:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Feb%202019%2008:31:16%20GMT	https://www.valuefy.com/assets/images/logo-og-large.jpg	D:/Valuefy/Valuefy/www.valuefy.com/assets/images/logo-og-large.0.delayed	(from https://www.valuefy.com/)
14:03:18	48649/48649	---MCZ	200	added ('OK')	text/css	etag:W/%2210519cfd3206802f58315b877a9beab5%22	https://use.fontawesome.com/releases/v5.3.1/css/all.css	D:/Valuefy/Valuefy/use.fontawesome.com/releases/v5.3.1/css/all.css	(from https://www.valuefy.com/)
14:03:19	1170/1170	---M--	200	added ('OK')	image/x-icon	etag:%22521a95b1ff35d41:0%22	https://www.valuefy.com/assets/images/favicon.ico?1549960275	D:/Valuefy/Valuefy/www.valuefy.com/assets/images/favicon1d27.ico	(from https://www.valuefy.com/)
14:03:20	420172/420172	---MCZ	200	added ('OK')	text/css	etag:%22f38b4f433266d41:0%22	https://www.valuefy.com/assets/css/stylesbundle.css	D:/Valuefy/Valuefy/www.valuefy.com/assets/css/stylesbundle.css	(from https://www.valuefy.com/)
14:04:18	24027/24027	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Feb%202019%2008:32:18%20GMT	https://www.valuefy.com/contact	D:/Valuefy/Valuefy/www.valuefy.com/contact.4.delayed	(from https://www.valuefy.com/)
14:04:19	4665/4665	---M--	200	added ('OK')	image/png	etag:%2261f320f62045d41:0%22	https://www.valuefy.com/assets/images/logo-hd-one.png	D:/Valuefy/Valuefy/www.valuefy.com/assets/images/logo-hd-one.png	(from https://www.valuefy.com/)
14:05:20	45332/45332	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Feb%202019%2008:33:19%20GMT	https://www.valuefy.com/index	D:/Valuefy/Valuefy/www.valuefy.com/index.6.delayed	(from https://www.valuefy.com/)
14:05:31	38268/38268	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Feb%202019%2008:33:31%20GMT	https://www.valuefy.com/about	D:/Valuefy/Valuefy/www.valuefy.com/about.7.delayed	(from https://www.valuefy.com/)
